link,title,date
https://childrenshealthdefense.org/defender/kennedy-hits-pause-covid-vaccine-project-hhs/,Kennedy Hits Pause on COVID Vaccine Project Worth Hundreds of Millions,"FEBRUARY 26, 2025"
https://childrenshealthdefense.org/defender/infant-formula-added-sugar-corn-syrup-obesity-diabetes/,Most Infant Formula Brands Are Full of Added Sugars — But Manufacturers Aren’t Required to Tell Consumers,"FEBRUARY 26, 2025"
https://childrenshealthdefense.org/defender/cdc-epidemic-intelligence-service-media-reports/,CDC Puts Kibosh on Media Reports That Agency Axed ‘Disease Detective’ Program,"FEBRUARY 26, 2025"
https://childrenshealthdefense.org/defender/nih-redact-records-wireless-radiation-studies-ntp/,"NIH Redacts Nearly 2,500 Pages of Records on Wireless Radiation Studies","FEBRUARY 25, 2025"
https://childrenshealthdefense.org/defender/nih-study-confirms-waning-support-vaccine-mandates/,NIH Study Confirms Waning Support for Vaccine Mandates — Will States Use Findings to Repeal Exemptions?,"FEBRUARY 25, 2025"
https://childrenshealthdefense.org/defender/utah-first-state-ban-water-fluoridation/,Utah Set to Become First State to End Water Fluoridation for All Residents,"FEBRUARY 24, 2025"
https://childrenshealthdefense.org/defender/florida-hints-legal-action-anthony-fauci-pandemic-response/,Florida Hints at Legal Action Against Fauci for Pandemic Response,"FEBRUARY 24, 2025"
https://childrenshealthdefense.org/defender/europe-approval-self-amplifying-covid-mrna-vaccines-no-long-term-safety-data/,"‘Inhumane, Reckless’: Critics Weigh in on Europe’s Approval of Self-amplifying COVID mRNA Vaccines","FEBRUARY 24, 2025"
https://childrenshealthdefense.org/defender/hhs-secretary-rfk-jr-postpone-cdc-acip-meeting/,Is Kennedy’s HHS Preparing to Shake Up CDC’s Vaccine Advisory Committee?,"FEBRUARY 21, 2025"
https://childrenshealthdefense.org/defender/hhs-tells-cdc-remove-wild-to-mild-flu-vaccine-ad-campaign-informed-consent-focus/,"HHS Tells CDC to Yank ‘Wild to Mild’ Flu Vaccine Ad Campaign, Shift Focus to ‘Informed Consent’","FEBRUARY 21, 2025"
https://childrenshealthdefense.org/defender/us-government-ntp-end-wireless-radiation-studies-biological-effects/,Exclusive: Why Did Government End Wireless Radiation Studies? Former NIH Scientist Unpacks the Behind-the-Scenes Story,"FEBRUARY 20, 2025"
https://childrenshealthdefense.org/defender/covid-vaccine-mrna-placenta-mice-vaccine-safety-pregnant-women/,"COVID Vaccine mRNA Crosses Placenta in Mice, Raising Questions About Vaccine’s Safety for Pregnant Women","FEBRUARY 20, 2025"
https://childrenshealthdefense.org/defender/post-vaccine-brain-fog-spike-protein-persist-body-years/,"Post-Vaccine Brain Fog, Immune Dysfunction Linked to Spike Protein That Can Persist in Body for Years","FEBRUARY 20, 2025"
https://childrenshealthdefense.org/defender/multiple-pesticides-higher-brain-cancer-rates-kids-teens-rtk/,"Multiple Pesticides Linked to Higher Brain Cancer Rates in Kids, Teens","FEBRUARY 20, 2025"
https://childrenshealthdefense.org/defender/pfizer-ceo-albert-bourla-big-pharma-liability-shield-false-claims/,Pfizer CEO: Vaccine Makers Need Liability Shield to Protect Against People Who Claim ‘Accident in a Car Happened Because of a Vaccine’,"FEBRUARY 19, 2025"
https://childrenshealthdefense.org/defender/covid-vaccines-linked-higher-risk-underactive-thyroid/,‘Earth-rattling’: COVID Vaccines Linked to 113% Higher Risk of Underactive Thyroid,"FEBRUARY 19, 2025"
https://childrenshealthdefense.org/defender/50-years-regulators-wireless-radiation-23-chronic-diseases/,For 50 Years Regulators Ignored Report Linking Wireless Radiation to 23 Chronic Diseases,"FEBRUARY 18, 2025"
https://childrenshealthdefense.org/defender/rfk-jr-health-secretary-hhs-investigate-chronic-disease-all-causes/,RFK Jr.: HHS Will Investigate All Possible Causes of Chronic Disease — Including Vaccines,"FEBRUARY 18, 2025"
https://childrenshealthdefense.org/defender/medical-board-drops-case-canadian-doctor-covid-vaccines/,‘They Stole His Practice’: Medical Board Drops Case Against Canadian Doctor Who Questioned COVID Vaccines,"FEBRUARY 18, 2025"
https://childrenshealthdefense.org/defender/trump-executive-order-defund-schools-covid-vaccine-mandates/,Breaking: Trump to Strip Federal Funding From Schools That Mandate COVID Vaccines,"FEBRUARY 14, 2025"
https://childrenshealthdefense.org/defender/kentucky-montana-idaho-states-looking-ban-mrna-vaccines/,"Kentucky, Montana, Idaho Among States Looking to Ban mRNA Vaccines","FEBRUARY 14, 2025"
https://childrenshealthdefense.org/defender/rfk-jr-promises-better-vaccine-injury-tracking-maha-commission/,"‘We Will Do That Right Away’: RFK Jr. Promises Better Vaccine Injury Tracking, as White House Launches MAHA Commission","FEBRUARY 14, 2025"
https://childrenshealthdefense.org/defender/hospital-child-heart-transplant-list-covid-flu-shots/,"Hospital Won’t Put Child on Heart Transplant List Unless Parents Agree to COVID, Flu Shots","FEBRUARY 14, 2025"
https://childrenshealthdefense.org/defender/study-37-safety-signals-covid-vaccines-pregnancy-cdc-still-urges-women-get-shots/,"Study Finds 37 Safety Signals for COVID Vaccines During Pregnancy, CDC Still Urges Women to Get the Shots","FEBRUARY 13, 2025"
https://childrenshealthdefense.org/defender/alamo-moment-congress-holds-hearing-government-censorship/,‘An Alamo Moment for the First Amendment’: Congress Holds Hearing on Government Censorship,"FEBRUARY 13, 2025"
https://childrenshealthdefense.org/defender/robert-f-kennedy-jr-confirmed-hhs-secretary/,Breaking: RFK Jr. Sworn in as HHS Secretary,"FEBRUARY 13, 2025"
https://childrenshealthdefense.org/defender/rfk-jr-senate-vote-invoke-cloture-confirmation-hhs-secretary/,RFK Jr. Clears Key Hurdle as Senate Tees Up Final Confirmation Vote,"FEBRUARY 12, 2025"
https://childrenshealthdefense.org/defender/german-startup-ties-gates-foundation-develop-nasal-mrna-vaccine/,German Startup With Ties to Gates Foundation Awarded $5 Million to Develop Nasal mRNA Vaccine,"FEBRUARY 12, 2025"
https://childrenshealthdefense.org/defender/teachers-monsanto-bayer-court-hearing-pcb-health-problems/,Teachers Face Off Against Monsanto in High-stakes PCB Case,"FEBRUARY 12, 2025"
https://childrenshealthdefense.org/defender/pfizer-covid-vaccine-lethal-batch-pulmonary-embolism-death-study/,Pfizer Vaccine From ‘Highly Lethal Batch’ Likely Caused Man’s Death 555 Days Later,"FEBRUARY 11, 2025"
https://childrenshealthdefense.org/defender/pr-firm-shuts-down-pesticide-industry-site-usaid/,PR Firm Shuts Down Site That Profiled Pesticide Critics After Investigation Reveals USAID Funding,"FEBRUARY 11, 2025"
https://childrenshealthdefense.org/defender/people-received-boosters-more-likely-get-covid-unvaccinated/,People Who Got Boosters More Likely to Get COVID Than Unvaccinated,"FEBRUARY 10, 2025"
https://childrenshealthdefense.org/defender/usaid-funded-internews-network-censorship-wikileaks/,USAID Bankrolled Secretive Nonprofit Global News Network With Alleged Ties to Censorship,"FEBRUARY 10, 2025"
https://childrenshealthdefense.org/defender/cancer-gag-act-protect-pesticide-companies-lawsuits-cg/,‘Cancer Gag Act’ Would Protect Pesticide Companies From Lawsuits,"FEBRUARY 10, 2025"
https://childrenshealthdefense.org/defender/studies-pesticides-brain-cancer-children-farmers/,Studies Show How Pesticides May Lead to Brain Cancer,"FEBRUARY 10, 2025"
https://childrenshealthdefense.org/defender/us-taxpayer-funds-ccdh-dark-money-censorship-rfk-jr-chd/,"Are U.S. Taxpayers Funding ‘Corrupt Dark-money Network’ That Censored CHD, RFK Jr. and Others?","FEBRUARY 07, 2025"
https://childrenshealthdefense.org/defender/usaid-trump-agency-financed-censorship-smear-campaigns/,Trump’s Shakeup of USAID Reveals Agency Financed Censorship and Smear Campaigns,"FEBRUARY 06, 2025"
https://childrenshealthdefense.org/defender/operation-outbreak-cdc-grooming-teens-kids-fear-pandemics/,"‘Operation Outbreak’: CDC Grooming Teens, Kids to Fear Pandemics, Critics Say","FEBRUARY 06, 2025"
https://childrenshealthdefense.org/defender/new-report-contradicts-telecom-industry-claim-wireless-radiation-safe/,New Report Contradicts Telecom Industry Claim That Wireless Radiation Is Safe,"FEBRUARY 06, 2025"
https://childrenshealthdefense.org/defender/rfk-jr-libel-case-daily-kos-writer-david-vickrey/,"RFK Jr. Libel Case Against Daily Kos Writer Can Proceed, Judge Rules","FEBRUARY 05, 2025"
https://childrenshealthdefense.org/defender/hawaii-lawmakers-bill-eliminate-religious-exemptions/,Hawaii Lawmakers Float Bill to Eliminate Religious Exemptions,"FEBRUARY 05, 2025"
https://childrenshealthdefense.org/defender/rfk-jr-win-senate-finance-committee-vote-hhs-secretary/,"RFK Jr. Wins Crucial Vote, Moves One Step Closer to Top HHS Post","FEBRUARY 04, 2025"
https://childrenshealthdefense.org/defender/wifi-cell-towers-spying-without-consent-wireless-radiation/,"Wi-Fi, Cell Towers May Soon Be Spying on You Without Your Consent","FEBRUARY 04, 2025"
https://childrenshealthdefense.org/defender/michael-pilgrim-died-hours-after-remdesivir-wife-speaks-out/,‘They Lied to Us’: Wife of 53-year-old Who Died Hours After Receiving Remdesivir Speaks Out,"FEBRUARY 04, 2025"
https://childrenshealthdefense.org/defender/rising-levels-microplastics-brain-dementia/,Rising Levels of Microplastics in Brain May Be Linked to Dementia,"FEBRUARY 04, 2025"
https://childrenshealthdefense.org/defender/johnson-subpoenas-hhs-covid-vaccine-safety-records-fauci-emails/,"Johnson Subpoenas HHS for COVID Vaccine Safety Records, Fauci Emails","FEBRUARY 03, 2025"
https://childrenshealthdefense.org/defender/lawsuit-demands-fda-set-limits-pfas-food/,Lawsuit Demands FDA Set Limits on PFAS in Food,"FEBRUARY 03, 2025"
https://childrenshealthdefense.org/defender/religious-exemptions-vaccines-nearly-doubled-6-years/,Public Support for Religious Exemptions Nearly Doubled Over Past 6 Years,"FEBRUARY 03, 2025"
https://childrenshealthdefense.org/defender/biden-administration-acip-committee-pro-vaxxers/,Biden Administration Stacked Key Vaccine Review Committee With Pro-vaxxers,"JANUARY 31, 2025"
https://childrenshealthdefense.org/defender/mortality-rates-spike-young-adults-pandemic-jama/,Mortality Rates Among Young Adults Spiked During Pandemic — But Why?,"JANUARY 31, 2025"
https://childrenshealthdefense.org/defender/big-food-did-not-cut-back-advertising-sugary-cereals-kids/,Big Food Promised to Cut Back on Advertising Sugary Cereals to Kids. It Hasn’t.,"JANUARY 31, 2025"
https://childrenshealthdefense.org/defender/rfk-jr-pushes-back-chronic-disease-autism-agency-corruption/,"RFK Jr. Pushes Back on Chronic Disease, Autism and Agency Corruption","JANUARY 30, 2025"
https://childrenshealthdefense.org/defender/meta-trump-25-million-settlement-facebook-censorship-lawsuit/,Meta Agrees to Pay Trump $25 Million to Settle Facebook Censorship Lawsuit,"JANUARY 30, 2025"
https://childrenshealthdefense.org/defender/adolescents-cellphones-mind-health-well-being/,"Rise in Aggression, Hallucinations Among Teens Tied to Cellphone Use","JANUARY 30, 2025"
https://childrenshealthdefense.org/defender/rfk-jr-senate-hearing-radical-transparency-health-agencies/,"Kennedy Calls for ‘Radical Transparency’ at Government Health Agencies, as Sanders Demands CHD Stop Selling Onesies","JANUARY 29, 2025"
https://childrenshealthdefense.org/defender/childhood-vaccines-saved-millions-of-lives-based-on-flawed-models/,Breaking: Claims That Childhood Vaccines ‘Saved Millions of Lives’ Based on Flawed Models,"JANUARY 29, 2025"
https://childrenshealthdefense.org/defender/pesticides-social-cost-exposure-harm/,How Much Are You Willing to Pay to Avoid Harm From Pesticides?,"JANUARY 29, 2025"
https://childrenshealthdefense.org/defender/ai-healthcare-predictive-medicine-biometric-surveillance/,Investigation: Healthcare Driven by AI Technology Will Lead to More Mass Surveillance of Americans,"JANUARY 29, 2025"
https://childrenshealthdefense.org/defender/zogby-poll-more-than-half-americans-sue-vaccine-makers-injuries/,Poll: More Than Half of Americans Want Right to Sue Vaccine Makers for Injuries,"JANUARY 28, 2025"
https://childrenshealthdefense.org/defender/wireless-radiation-sickness-emr-syndrome-electromagnetic-fields/,Wireless Radiation Sickness Gets a New Name: ‘EMR Syndrome’,"JANUARY 28, 2025"
https://childrenshealthdefense.org/defender/epa-plans-raise-allowable-levels-weedkiller-atrazine/,‘Punch in the Gut’: EPA Plans to Raise Allowable Levels of Weedkiller Atrazine,"JANUARY 28, 2025"
https://childrenshealthdefense.org/defender/trump-executive-order-reinstate-military-members-covid-vaccine-mandate/,Trump Orders Military to Reinstate Members Booted for Refusing COVID Vaccines,"JANUARY 28, 2025"
https://childrenshealthdefense.org/defender/jama-study-covid-vaccine-myocarditis-canadian-researchers/,"JAMA Study Downplayed COVID Vaccine-related Myocarditis Risk, Researchers Say","JANUARY 28, 2025"
https://childrenshealthdefense.org/defender/4-things-new-york-times-got-wrong-aluminum-vaccines/,4 Things the New York Times Got Wrong About Aluminum in Vaccines,"JANUARY 27, 2025"
https://childrenshealthdefense.org/defender/study-vaccinated-children-autism-risk-increase/,‘Jaw-dropping’ Study Finds Vaccinated Children Have 170% Higher Risk of Autism,"JANUARY 27, 2025"
https://childrenshealthdefense.org/defender/cia-report-covid-lab-leak-trump-gain-of-function/,"CIA Reports COVID Likely Leaked From Lab, as Trump Prepares to Shut Down Gain-of-Function Research","JANUARY 27, 2025"
https://childrenshealthdefense.org/defender/pfas-chemicals-weaken-kids-immune-systems-rtk/,PFAS Chemicals May Weaken Kids’ Immune Systems,"JANUARY 27, 2025"
https://childrenshealthdefense.org/defender/kansas-court-ruling-hospital-fired-woman-covid-vaccine-mandate/,Court Rules Against Hospital That Fired Woman for Refusing COVID Vaccine,"JANUARY 24, 2025"
https://childrenshealthdefense.org/defender/wef-annual-meeting-ai-tech-medicine-censorship/,"Hot Topics at Davos: Long-acting Injectables, ‘Climate-sensitive’ Vaccines and ‘Misinformation’","JANUARY 24, 2025"
https://childrenshealthdefense.org/defender/trump-withdraws-epa-proposed-limits-toxic-pfas-chemicals-industrial-wastewater/,Trump Withdraws EPA’s Proposed Limits on Toxic PFAS Chemicals in Industrial Wastewater,"JANUARY 24, 2025"
https://childrenshealthdefense.org/defender/lnp-based-mrna-covid-vaccines-travel-organs-heart/,"Lipid Nanoparticles in COVID Vaccines Travel to Vital Organs, Including Heart","JANUARY 24, 2025"
https://childrenshealthdefense.org/defender/merck-california-jury-historic-gardasil-hpv-vaccine-trial/,Merck to Face California Jury as ‘Historic’ Gardasil HPV Vaccine Trial Gets Under Way,"JANUARY 23, 2025"
https://childrenshealthdefense.org/defender/plastics-pesticides-chemicals-promote-stress-obesity/,From Plastics to Pesticides: Chemicals May Promote Stress That Leads to Obesity,"JANUARY 23, 2025"
https://childrenshealthdefense.org/defender/u-s-health-agencies-ordered-freeze-most-external-communications/,U.S. Health Agencies Ordered to Freeze Most External Communications,"JANUARY 23, 2025"
https://childrenshealthdefense.org/defender/trump-covid-vaccine-policy-legal-immigrants/,Trump Ends COVID Vaccine Mandate for Legal Immigrants,"JANUARY 23, 2025"
https://childrenshealthdefense.org/defender/emails-chd-foia-government-covid-vaccine-injury-reports/,Breaking: Emails Obtained by CHD Reveal Government’s Failure to Monitor COVID Vaccine Injury Reports,"JANUARY 22, 2025"
https://childrenshealthdefense.org/defender/biden-trump-administrations-commit-billions-mrna-vaccine-technologies/,Biden and Trump Administrations Commit Combined Billions to mRNA Vaccine Technologies,"JANUARY 22, 2025"
https://childrenshealthdefense.org/defender/react-19-nonprofit-awards-1-million-covid-vaccine-injured-cicp/,"While U.S. Government Struggles to Process Claims, Nonprofit Awards $1 Million to People Injured by COVID Vaccines","JANUARY 22, 2025"
https://childrenshealthdefense.org/defender/center-to-end-corporate-harm-disease-epidemic/,Scientists Take Aim at Corporate ‘Polluters and Poisoners’ Tied to Disease Epidemic,"JANUARY 22, 2025"
https://childrenshealthdefense.org/defender/epa-delays-decision-paraquat-linked-to-parkinsons-cg/,EPA Delays Decision on Popular Weedkiller Linked to Parkinson’s,"JANUARY 22, 2025"
https://childrenshealthdefense.org/defender/trump-orders-us-withdraw-world-health-organization/,Trump Orders U.S. to Withdraw From World Health Organization,"JANUARY 21, 2025"
https://childrenshealthdefense.org/defender/epa-appeal-federal-court-fluoride-landmark-ruling/,EPA to Appeal Federal Court’s Landmark Ruling on Fluoride,"JANUARY 21, 2025"
https://childrenshealthdefense.org/defender/who-scientist-jeremy-farrar-primary-collaborator-peter-daszak-researcher-hhs-scrutiny-coronavirus-experiments-wuhan-rtk/,WHO Top Scientist Was ‘Primary Collaborator’ of Peter Daszak — the Researcher Under HHS Scrutiny for Coronavirus Experiments in Wuhan,"JANUARY 21, 2025"
https://childrenshealthdefense.org/defender/biden-fauci-preemptive-pardon-covid-offenses/,Biden Grants Fauci a ‘Preemptive Pardon.’ Could He Still Face Legal Challenges?,"JANUARY 21, 2025"
https://childrenshealthdefense.org/defender/glyphosate-weedkiller-premature-births-low-birth-weights-rtk/,"Glyphosate Weedkiller Linked to Premature Births, Low Birth Weights","JANUARY 17, 2025"
https://childrenshealthdefense.org/defender/pharma-drug-ad-spending-trump-ban/,"Pharma Spends Billions on Drug Ads, Fears Trump Administration Will Try to Ban Them","JANUARY 16, 2025"
https://childrenshealthdefense.org/defender/us-launches-one-health-plan-global-power-play/,U.S. Launches ‘One Health’ Plan Prompting Concerns About Global Power Play,"JANUARY 16, 2025"
https://childrenshealthdefense.org/defender/walla-walla-washington-residents-beat-att-plan-cell-tower-near-homes-school/,"A Win for Walla Walla: Residents Beat Back AT&T Plan to Build Cell Tower Near Homes, School","JANUARY 16, 2025"
https://childrenshealthdefense.org/defender/west-virginia-schools-vaccine-religious-exemption-executive-order/,‘Huge Win’: West Virginia Governor Issues Executive Order Allowing Religious Exemptions,"JANUARY 15, 2025"
https://childrenshealthdefense.org/defender/whistleblower-seeks-irs-investigation-gates-vaccine-profit-activity/,Whistleblower Seeks IRS Investigation Into Gates Foundation’s For-profit Vaccine Activities,"JANUARY 15, 2025"
https://childrenshealthdefense.org/defender/uk-doctors-group-covid-shots-teens-hid-payments-pfizer/,UK Doctors Group That Pushed COVID Shots for Teens Hid Payments From Pfizer,"JANUARY 15, 2025"
https://childrenshealthdefense.org/defender/pfas-sewage-sludge-fertilizer-contaminate-milk-eggs-meat/,"PFAS Found in Sludge Used as Fertilizer Can Contaminate Milk, Eggs and Meat","JANUARY 15, 2025"
https://childrenshealthdefense.org/defender/measles-mumps-rubella-infection-mmr-vaccine-risk/,"No Proof MMR Vaccine Is ‘Safer’ than Measles, Mumps or Rubella Infection, Physician Group Says","JANUARY 14, 2025"
https://childrenshealthdefense.org/defender/infants-moms-exposed-air-pollution-last-month-pregnancy-much-more-likely-intensive-care-rtk/,Infants of Moms Exposed to Air Pollution in Last Month of Pregnancy Much More Likely to Be Admitted to Intensive Care,"JANUARY 14, 2025"
https://childrenshealthdefense.org/defender/zuckerberg-white-house-facebook-staff-remove-covid-content-joe-rogan/,Zuckerberg: White House Would ‘Scream’ and ‘Curse’ at Facebook Staff to Remove COVID Content,"JANUARY 14, 2025"
https://childrenshealthdefense.org/defender/australian-study-evidence-covid-vaccines-cause-myocarditis/,Australian Study Adds to Evidence That COVID Vaccines Cause Myocarditis,"JANUARY 14, 2025"
https://childrenshealthdefense.org/defender/vaccines-do-not-cause-autism-claim-built-on-house-of-cards/,"‘Vaccines Do Not Cause Autism’ Claim Built on ‘House of Cards,’ Authors of New Review Say","JANUARY 13, 2025"
https://childrenshealthdefense.org/defender/class-action-lawsuits-kids-fluoride-toothpaste-makers/,Breaking: 6 Lawsuits Filed Today Accuse Makers of Children’s Fluoride Toothpaste of Violating Federal Law,"JANUARY 13, 2025"
https://childrenshealthdefense.org/defender/supreme-court-rejects-emergency-appeal-medical-free-speech-case/,U.S. Supreme Court Rejects Emergency Appeal in Medical Free Speech Case,"JANUARY 13, 2025"
https://childrenshealthdefense.org/defender/pfas-forever-chemicals-cancer-birth-defects-rtk/,"PFAS ‘Forever Chemicals’ Linked to Cancer, Birth Defects — And They’re Everywhere","JANUARY 13, 2025"
https://childrenshealthdefense.org/defender/gmo-mosquitoes-malaria-vaccinate-humans-nejm-study/,Scientists Sound Alarm About Using Mosquitoes to Vaccinate Humans,"JANUARY 10, 2025"
https://childrenshealthdefense.org/defender/endocrine-disrupting-chemicals-infertility-women/,‘Wide Body of Science’ Links Endocrine-disrupting Chemicals to Infertility in Women,"JANUARY 10, 2025"
https://childrenshealthdefense.org/defender/seafood-contaminated-microplastics-leach-common-household-products-rtk/,Popular Seafood Contaminated With Microplastics That Leach From Common Household Products,"JANUARY 10, 2025"
https://childrenshealthdefense.org/defender/sids-study-vaccination-preterm-babies-apnea-risk/,Experts Raise Questions About SIDS After Study Shows Vaccinating Preterm Babies Greatly Increases Risk of Apnea,"JANUARY 09, 2025"
https://childrenshealthdefense.org/defender/kim-iversen-interview-chd-ceo-mary-holland/,6 Takeaways From Kim Iversen’s Interview With CHD CEO Mary Holland,"JANUARY 09, 2025"
https://childrenshealthdefense.org/defender/u-s-allows-food-additive-breads-cakes-ice-cream-banned-in-europe-rtk/,"U.S. Allows This Food Additive in Breads, Cakes and Ice Cream — But It’s Banned in Europe","JANUARY 09, 2025"
https://childrenshealthdefense.org/defender/florida-grand-jury-ron-desantis-covid-vaccine-development-safety/,‘Painful Truths’: Florida Grand Jury Finds ‘Profound and Serious’ Issues With Vaccine Development and Safety in U.S.,"JANUARY 08, 2025"
https://childrenshealthdefense.org/defender/children-chronic-diseases-chemical-exposure-nejm-study/,‘Grave Concern’: Chronic Diseases Are Killing Kids — and Exposure to Chemicals Is Driving the Epidemic,"JANUARY 08, 2025"
https://childrenshealthdefense.org/defender/rfk-jr-gmo-corn-syrup-america-corn-belt/,RFK Jr. Has Targeted GMO Corn Syrup. That Puts Him at Odds With America’s Corn Belt,"JANUARY 08, 2025"
https://childrenshealthdefense.org/defender/big-win-amish-farmer-food-freedom-raw-milk-case/,‘Big Win’ for Amish Farmer and Food Freedom in Raw Milk Case,"JANUARY 07, 2025"
https://childrenshealthdefense.org/defender/facebook-fact-checkers-chd-meta-censorship-case-supreme-court/,Facebook Dumps ‘Fact-checkers’ One Day After CHD Asks Supreme Court to Hear Censorship Case Against Meta,"JANUARY 07, 2025"
https://childrenshealthdefense.org/defender/louisiana-man-bird-flu-dies-cause-of-death-unclear/,Louisiana Man Who Had Bird Flu Dies — But Cause of Death Is Unclear,"JANUARY 07, 2025"
https://childrenshealthdefense.org/defender/fluorinated-pharmaceuticals-prozac-leaking-pfas-water/,Drugs Like Prozac Contain PFAS Chemicals — And They’re Leaking Into Our Water,"JANUARY 07, 2025"
https://childrenshealthdefense.org/defender/young-child-died-moderna-covid-vaccine-clinical-trial-fda/,A Young Child Died During Moderna COVID Vaccine Clinical Trial — Did FDA Know?,"JANUARY 06, 2025"
https://childrenshealthdefense.org/defender/nih-study-fluoride-lower-iq-children-end-water-fluoridation/,Breaking: New Study Linking Fluoride to Lower IQ in Children Sparks Renewed Calls to End Water Fluoridation,"JANUARY 06, 2025"
https://childrenshealthdefense.org/defender/epa-report-formaldehyde-unreasonable-risk-human-health/,EPA Report: Formaldehyde Poses ‘Unreasonable Risk’ to Human Health,"JANUARY 06, 2025"
https://childrenshealthdefense.org/defender/paraquat-herbicide-linked-birth-defects-thyroid-disease/,"‘Just Too Dangerous’: Herbicide Linked to Birth Defects, Thyroid Disease","JANUARY 06, 2025"
https://childrenshealthdefense.org/defender/fbi-evidence-covid-lab-leak/,FBI Had Evidence That COVID Leaked From a Lab — But Wasn’t Allowed to Present It,"JANUARY 06, 2025"
https://childrenshealthdefense.org/defender/fda-study-high-school-lab-dna-contamination-pfizer-covid-vaccine/,FDA’s Own Study Finds DNA Contamination in Pfizer Vaccines,"JANUARY 03, 2025"
https://childrenshealthdefense.org/defender/gmo-tomato-project-gates-foundation-dod-roadblock/,GMO Tomato Project Funded by Gates Foundation and U.S. Taxpayers Hits Roadblock,"JANUARY 03, 2025"
https://childrenshealthdefense.org/defender/atrazine-neurodegenerative-disease-study-mice/,Pesticide Banned in Europe But Widely Used in U.S. Makes Brain Cells Age Faster,"JANUARY 03, 2025"
https://childrenshealthdefense.org/defender/leana-wen-bird-flu-vaccine-biden-administration/,Leading Public Health Figure Calls on Biden to Authorize Bird Flu Vaccine,"JANUARY 02, 2025"
https://childrenshealthdefense.org/defender/fact-check-mainstream-media-rfk-jr-measles-outbreak-samoa/,Fact-checking Mainstream Media: Did RFK Jr. Cause Measles Outbreak in Samoa That Killed 83 Children?,"JANUARY 02, 2025"
https://childrenshealthdefense.org/defender/weaponization-federal-government-house-final-report/,"Calling it a ‘Necessary First Step to Stop Weaponization of the Federal Government,’ House Issues 17,000-page Report","DECEMBER 23, 2024"
https://childrenshealthdefense.org/defender/trump-transition-team-pushing-for-who-exit-day-one/,Is Trump Transition Team Pushing for WHO Exit on Day One?,"DECEMBER 23, 2024"
https://childrenshealthdefense.org/defender/fortune-fact-check-polio-vaccine-saved-20-million-children-paralysis/,Fact-checking Fortune: Has Polio Vaccine Saved 20 Million Children From Paralysis?,"DECEMBER 23, 2024"
https://childrenshealthdefense.org/defender/infertility-cancer-microplastics-air-pollution-cg/,"Infertility, Cancer Linked to Microplastics in Air Pollution","DECEMBER 23, 2024"
https://childrenshealthdefense.org/defender/the-guardian-fact-check-pregnant-women-babies-bird-flu/,Fact-Checking The Guardian: Will Most Pregnant Women and Babies Who Get Bird Flu Die?,"DECEMBER 20, 2024"
