title,link,date,category,excerpt
"Company Recalls Nearly 10 Million Pounds Of Ready-To-Eat Meat, Poultry Over Listeria Risk",https://naturalblaze.com/2024/10/company-recalls-nearly-10-million-pounds-of-ready-to-eat-meat-poultry-over-listeria-risk.html,"OCTOBER 11, 2024",NATURAL HEALTH NEWS,"Authored by Naveen Athrappully via The Epoch Times (emphasis ZeroHedge), Oklahoma-based BrucePac is pulling millions of pounds of meat items from across the United States due to concerns they may be adulterated with listeria monocytogenes bacteria, according to the Food Safety and Inspection Service (FSIS)…."
Hurricane Helene Shuts Down Top IV Fluid Producer As It Alerts Hospitals Of Possible 40% Decrease In Supply,https://naturalblaze.com/2024/10/hurricane-helene-shuts-down-top-iv-fluid-producer-as-it-alerts-hospitals-of-possible-40-decrease-in-supply.html,"OCTOBER 10, 2024",NATURAL HEALTH NEWS,"This article was originally published by Belle Carter at Natural News.  A medical technology company responsible for making IV fluids for most U.S. hospitals, last week announced that it would temporarily close production at its North Cove, North Carolina-based facility because of the damages brought…"
The Effects Of Pulsed Microwaves And Extra Low Frequency Electromagnetic Waves On Human Brains?,https://naturalblaze.com/2024/10/the-effects-of-pulsed-microwaves-and-extra-low-frequency-electromagnetic-waves-on-human-brains.html,"OCTOBER 8, 2024",NATURAL HEALTH NEWS,"By Mojmir Babacek Governments Routinely “Classify Information” Pertaining to the Manipulation of the Human Nervous System. In the year 1962 the American scientist Allan H. Frey carried out experiments with pulsed microwaves, which produced clicking, buzz, hissing or knocking sounds in the heads of people…"
Parkinson’s Disease Shows Significant Link To Damage In The Gut,https://naturalblaze.com/2024/10/parkinsons-disease-shows-significant-link-to-damage-in-the-gut.html,"OCTOBER 1, 2024",NATURAL HEALTH NEWS,"By Dr. Faith Coleman Every year, about 90,000 people in the United States will be diagnosed with Parkinson’s disease. At any given time, about one million Americans have the disorder, and that is expected to rise to 1.2 million by 2030. Despite these substantial numbers…"
"How Much Lead Is In School Drinking Water? Alarmingly, No One Knows",https://naturalblaze.com/2024/09/how-much-lead-is-in-school-drinking-water-alarmingly-no-one-knows.html,"SEPTEMBER 29, 2024",NATURAL HEALTH NEWS,"By Dr. Faith Coleman You can’t see it, or smell it, or taste it, and nor can children, but lead could be causing a host of detrimental effects on kids. Moreover, no one knows how many public schools don’t have safe drinking water. By the…"
Federal Judge Rules Fluoride Is A Neurotoxin In Historic Lawsuit,https://naturalblaze.com/2024/09/federal-judge-rules-fluoride-is-a-neurotoxin-in-historic-lawsuit.html,"SEPTEMBER 27, 2024",NATURAL HEALTH NEWS,"By Derrick Broze Fluoride poses an unreasonable risk of reduced IQ in children, according to a U.S. federal court. On Tuesday a federal court in California found that fluoridation of water at 0.7 milligram per liter “poses an unreasonable risk of reduced IQ in children”…."
Plastic On The Brain: Groundbreaking Study Detects Microplastics In Human Olfactory Bulbs For The First Time,https://naturalblaze.com/2024/09/plastic-on-the-brain-groundbreaking-study-detects-microplastics-in-human-olfactory-bulbs-for-the-first-time.html,"SEPTEMBER 25, 2024",NATURAL HEALTH NEWS,"By GreenMedInfo Research Group Tiny plastic particles are infiltrating our bodies at an alarming rate, with new research uncovering their presence in human brains, reproductive organs, and even our bloodstream. Quick Summary: Microplastics have been detected in human olfactory bulbs, suggesting a direct pathway to…"
Nearly 200 Potentially Cancer-Causing Chemicals Discovered In Food Packaging,https://naturalblaze.com/2024/09/nearly-200-potentially-cancer-causing-chemicals-discovered-in-food-packaging.html,"SEPTEMBER 24, 2024",NATURAL HEALTH NEWS,"By Study Finds A new study is revealing a concerning truth about the materials that come into contact with our food: many contain chemicals that could potentially cause breast cancer. Despite regulations aimed at keeping harmful substances out of our food supply, researchers in Switzerland…"
AminoSweet: The Deceptive Rebrand Of Toxic Aspartame You Need To Know About,https://naturalblaze.com/2024/09/aminosweet-the-deceptive-rebrand-of-toxic-aspartame-you-need-to-know-about.html,"SEPTEMBER 23, 2024",NATURAL HEALTH NEWS,"By GreenMedInfo Research Group Imagine biting into your favorite “sugar-free” snack, confident you’re making a healthier choice, only to discover you’ve been unknowingly consuming a controversial artificial sweetener in disguise. This scenario is becoming increasingly common as aspartame, a synthetic sweetener with a troubled reputation,…"
Staring At Screens Leaves Kids Struggling To Speak Properly,https://naturalblaze.com/2024/09/staring-at-screens-leaves-kids-struggling-to-speak-properly.html,"SEPTEMBER 17, 2024",NATURAL HEALTH NEWS,"By Study Finds In today’s digital age, screens are everywhere. From smartphones to tablets, televisions to gaming consoles, children are growing up with their eyes glued to glowing little boxes several hours a day. Unfortunately, a new study finds this is ruining their ability to…"
Regularly Using Mobile Phones Linked To Heart Disease Risk,https://naturalblaze.com/2024/09/regularly-using-mobile-phones-linked-to-heart-disease-risk.html,"SEPTEMBER 9, 2024",NATURAL HEALTH NEWS,"By Study Finds In an era where smartphones have become an extension of our hands, a new study is bringing some concerning news about what these devices are doing to our hearts. Researchers have found that frequent mobile phone use may lead to a higher…"
California Legislation On Food Dyes Is A First,https://naturalblaze.com/2024/09/california-legislation-on-food-dyes-is-a-first.html,"SEPTEMBER 2, 2024",NATURAL HEALTH NEWS,"By Bob Cronin California has become the first state in the country to pass legislation prohibiting the use of certain chemicals in food and beverages served at public and charter K-12 schools because of concern the color additives impair learning. The bill, which has gone…"
Over Half Of People Worldwide Expect Harm From Their Water In Next 2 Years,https://naturalblaze.com/2024/09/over-half-of-people-worldwide-expect-harm-from-their-water-in-next-2-years.html,"SEPTEMBER 1, 2024",NATURAL HEALTH NEWS,"Authored by Marina Zhang via The Epoch Times (emphasis ZeroHedge) A survey across 141 countries found that more than 52 percent of respondents “anticipate serious harm from drinking water in the next two years,” according to a recent study. The study, newly published in Nature…"
"More Than 165,000 Pounds Of Perdue Chicken Recalled For Metal Contamination",https://naturalblaze.com/2024/08/more-than-165000-pounds-of-perdue-chicken-recalled-for-metal-contamination.html,"AUGUST 24, 2024",NATURAL HEALTH NEWS,"Authored by Naveen Athrappully via The Epoch Times (emphasis ZeroHedge) Georgia-based Perdue Foods is recalling large quantities of chicken products after consumers complained about contamination, according to the Food Safety and Inspection Service (FSIS). “The problem was discovered after the firm received consumer complaints about…"
"Rat Poison Is Moving Up The Food Chain, Threatening Carnivores Worldwide",https://naturalblaze.com/2024/08/rat-poison-is-moving-up-the-food-chain-threatening-carnivores-worldwide.html,"AUGUST 11, 2024",NATURAL HEALTH NEWS,"By Meghan P. Keating, Clemson University Rats thrive around humans, for good reason: They feed off crops and garbage and readily adapt to many settings, from farms to the world’s largest cities. To control them, people often resort to poisons. But chemicals that kill rats…"
"Yes, Blue Light From Your Phone Can Harm Your Skin — A Dermatologist Explains",https://naturalblaze.com/2024/08/yes-blue-light-from-your-phone-can-harm-your-skin-a-dermatologist-explains.html,"AUGUST 5, 2024",NATURAL HEALTH NEWS,"By Michael Freeman, Bond University Social media is full of claims that everyday habits can harm your skin. It’s also full of recommendations or advertisements for products that can protect you. Now social media has blue light from our devices in its sights. So can…"
‘New Car Smell’ Could Become A Dangerous Source Of Cancer On Hot Days,https://naturalblaze.com/2024/07/new-car-smell-could-become-a-dangerous-source-of-cancer-on-hot-days.html,"JULY 23, 2024",NATURAL HEALTH NEWS,"By Study Finds Many people have taken a sniff of that distinctive scent when getting into a brand-new car. It’s a smell that many associate with freshness, luxury, and even excitement. However, that pleasant “new car smell” could be seriously harmful to your health. A…"
Study Finds Alarming Surge In Deaths From Neurological Disease Among Young Adults,https://naturalblaze.com/2024/06/study-finds-alarming-surge-in-deaths-from-neurological-disease-among-young-adults.html,"JUNE 25, 2024",NATURAL HEALTH NEWS,"By Tyler Durden A recent preprint study which relies on extensive data from the Centers for Disease Control and Prevention (CDC) paints a concerning picture of the neurological health landscape in the United States. The study, which focuses on those aged 15-44, reveals a disturbing…"
Broccoli’s Cancer-Fighting Superpowers Revealed: Genome Study Uncovers Secrets Of Glucosinolates,https://naturalblaze.com/2024/06/broccolis-cancer-fighting-superpowers-revealed-genome-study-uncovers-secrets-of-glucosinolates.html,"JUNE 24, 2024",NATURAL HEALTH NEWS,"By Study Finds Scientists have long known that broccoli packs a powerful nutritional punch, but new research is shedding light on exactly how this humble vegetable produces its cancer-fighting compounds. A team of researchers in China has sequenced the genome of broccoli at an unprecedented…"
"USDA Recalls More Than 20,000 Pounds Of Frozen Beef Products",https://naturalblaze.com/2024/06/usda-recalls-more-than-20000-pounds-of-frozen-beef-products.html,"JUNE 11, 2024",NATURAL HEALTH NEWS,"Authored by Lorenz Duchamps via The Epoch Times (emphasis ours), More than 20,000 pounds of beef products have been recalled because the meat was improperly inspected when shipped into the United States, according to U.S. regulators. The U.S. Department of Agriculture (USDA) announced in a…"
Internet Addiction In Adolescents Can Negatively Affect Brain Function: Study,https://naturalblaze.com/2024/06/internet-addiction-in-adolescents-can-negatively-affect-brain-function-study.html,"JUNE 8, 2024",NATURAL HEALTH NEWS,"Authored by Evgenia Filimianova via The Epoch Times (emphasis ZeroHedge) Internet addiction (IA) in adolescents can affect neural networks in the brain and lead to behavioural and developmental changes, researchers have found. A study by University College London (UCL) examined data from 12 studies, conducted…"
Colorectal Cancer Cases Among Kids Skyrockets By 500% — What’s Causing It?,https://naturalblaze.com/2024/05/colorectal-cancer-cases-among-kids-skyrockets-by-500-whats-causing-it.html,"MAY 11, 2024",NATURAL HEALTH NEWS,"By Chris Melore Colorectal cancer rates continue to rise among younger adults. While that trend is still a major concern for doctors, a new study has discovered another disturbing shift — cases of colorectal cancer are now skyrocketing among young children and teens as well…."
"Nearly 10,000 Chemicals Leaching From Plastic Containers Into Food, Alarming Study Reveals",https://naturalblaze.com/2024/04/nearly-10000-chemicals-leaching-from-plastic-containers-into-food-alarming-study-reveals.html,"APRIL 27, 2024",NATURAL HEALTH NEWS,"By Study Finds It might be time to ditch plastic containers and zip lock bags to store your food. New research finds that those everyday food packaging materials are leaching a cocktail of potentially harmful chemicals right into your food. In fact, researchers in Norway…"
Gold May Be The Hidden Key To Cleaner Drinking Water,https://naturalblaze.com/2024/04/gold-may-be-the-hidden-key-to-cleaner-drinking-water.html,"APRIL 21, 2024",NATURAL HEALTH NEWS,"By John Anderer Clean drinking water is something everyone should have access to, but that’s unfortunately not the case in many regions worldwide. Now, noteworthy new research out of Florida suggests that gold — the coveted precious metal — may hold the key to cleaner…"
Breakfast Cereals Scrutinized For Pesticide That May Harm Reproduction,https://naturalblaze.com/2024/04/breakfast-cereals-scrutinized-for-pesticide-that-may-harm-reproduction.html,"APRIL 20, 2024",NATURAL HEALTH NEWS,"Authored by Sina McCullough via The Epoch Times (emphasis ours), Imagine starting your day with a bowl of cereal that could be silently affecting your family’s health. Recent studies show that chlormequat, a pesticide linked to reproductive issues, has been found in popular breakfast cereals…"
EMF Hazards Summit 2024 — Free Report,https://naturalblaze.com/2024/03/emf-hazards-summit-2024-free-report.html,"MARCH 18, 2024",NATURAL HEALTH NEWS,"By Activist Post In advance of the upcoming EMF Hazards Summit that begins on April 11th, a free report is available for download. Could you be “electro-sensitive”, and experience a sort of “allergic reaction” to phones, Wi-Fi routers, Bluetooth gadgets or even cell phone towers?…"
Agent Orange Linked To Alzheimer’s — And There’s A Good Chance You’ve Been Exposed,https://naturalblaze.com/2024/02/agent-orange-linked-to-alzheimers-and-theres-a-good-chance-youve-been-exposed.html,"FEBRUARY 22, 2024",NATURAL HEALTH NEWS,"By Matt Higgins More than 50 years after the Vietnam War ended, the infamous herbicide Agent Orange continues to haunt many veterans. Research warns that millions of Americans have likely been exposed to the dangerous substance as well due to its widespread use in commercial…"
"Cannabis Extract Kills Skin Cancer Cells, Study Reveals",https://naturalblaze.com/2024/02/cannabis-extract-kills-skin-cancer-cells-study-reveals.html,"FEBRUARY 15, 2024",NATURAL HEALTH NEWS,By Study Finds Could cannabis cure cancer? Researchers believe a revolutionary new skin cancer treatment is on the horizon. A cannabis extract has been found to significantly slow down the growth of melanoma cells and increase their death rates. The research from Charles Darwin University…
Walking In Nature Can Restore Brain’s Ability To Pay Attention,https://naturalblaze.com/2024/02/walking-in-nature-can-restore-brains-ability-to-pay-attention.html,"FEBRUARY 1, 2024",NATURAL HEALTH NEWS,"By John Anderer While great American authors like Whitman and Thoreau have been telling us for centuries that nature can soothe the soul and heal the heart, new research finds a walk in green spaces may be just as revitalizing for the brain. Scientists from…"
"Taking Vitamin D Supplements Regularly Reduces Risk Of Developing Melanoma, Study Says",https://naturalblaze.com/2024/01/taking-vitamin-d-supplements-regularly-reduces-risk-of-developing-melanoma-study-says.html,"JANUARY 16, 2024",NATURAL HEALTH NEWS,"By Shyla Cadogan, RD Sun exposure and vitamin D go hand-in-hand, but too much sun also increases the risk of burning and skin cancer. Now, researchers from the University of Eastern Finland, Kuopio University Hospital, and experienced dermatologists have found that getting this nutrient through…"
Bottled Water Contaminated With Up To 100 Times More Plastic Than Thought,https://naturalblaze.com/2024/01/bottled-water-contaminated-with-up-to-100-times-more-plastic-than-thought.html,"JANUARY 9, 2024",NATURAL HEALTH NEWS,"By Study Finds A single bottle of water can contain hundreds of thousands of microscopic plastic particles, potentially posing serious health risks for drinkers, researchers warn. Scientists at Columbia University caution that these nanoplastics, which form as plastics break down into increasingly smaller pieces, can…"
These Amendments Would Open The Door To A Dangerous Global Health Bureaucracy,https://naturalblaze.com/2023/12/these-amendments-would-open-the-door-to-a-dangerous-global-health-bureaucracy.html,"DECEMBER 10, 2023",NATURAL HEALTH NEWS,"By David Thunder The Covid pandemic gave the World Health Organisation and its partners unprecedented visibility and a tremendous amount of “soft” power to shape public health law and policies across the world. Over the past year or so, the WHO has been pushing hard…"
"Eye Drops That May Blind Users Recalled; Sold At CVS, Target, Rite Aid",https://naturalblaze.com/2023/10/eye-drops-that-may-blind-users-recalled-sold-at-cvs-target-rite-aid.html,"OCTOBER 31, 2023",BIG PHARMA,"By Patch.com Federal regulators are warning Americans not to use 26 over-the-counter eye drop products that they said could lead to eye infections — and partial vision loss or blindness. The U.S. Food and Drug Administration said the products were marketed under CVS, Target and…"
US Government Releases Censored Documents Detailing Fluoride’s Impact On Childhood IQ,https://naturalblaze.com/2023/03/us-government-releases-censored-documents-detailing-fluorides-impact-on-childhood-iq.html,"MARCH 16, 2023",NATURAL HEALTH NEWS,By Derrick Broze The U.S. government has been forced to release a controversial draft review that confirms previous studies which found exposure to fluoride at high levels can reduce IQ in children. The U.S. National Toxicology Program has released a long-delayed controversial review of the…
Withdraw US From World Health Organization Now!,https://naturalblaze.com/2023/03/withdraw-us-from-world-health-organization-now.html,"MARCH 15, 2023",NATURAL HEALTH NEWS,"By Neenah Payne Take action! WITHDRAW US FROM THE W.H.O. NOW! “If you disliked the way you and our country were treated in response to the COVID pandemic, you are going to hate what those who perpetrated the mask, lockdown and vaccine mandates intend to…"
"Did Fauci’s Remdesivir Kill 100,000 Americans?",https://naturalblaze.com/2023/03/did-faucis-remdesivir-kill-100000-americans.html,"MARCH 13, 2023",NATURAL HEALTH NEWS,"By Neenah Payne Will Fauci Face Criminal Charges Now? shows that Fauci may have perjured himself in his testimony with Sen. Rand Paul (R-Ky) when he denied that his agency, NIAID, did not fund gain-of-function research at the Wuhan lab that led to the SARS-Cov-2…"
Will Fauci Face Criminal Charges Now?,https://naturalblaze.com/2023/03/will-fauci-face-criminal-charges-now.html,"MARCH 10, 2023",NATURAL HEALTH NEWS,"By Neenah Payne Dr.  Anthony Fauci, now 80 years old, began his 53-year career as the National Institute of Allergy and Infectious Diseases (NIAID) in 1968. He assumed his NIAID Director position in 1984, served under the NIH Director Francis Collins, and advised every president since…"
Free Film: “Safe And Effective?” March 11,https://naturalblaze.com/2023/03/free-film-safe-and-effective-march-11.html,"MARCH 10, 2023",NATURAL HEALTH NEWS,"By Neenah Payne “After an overwhelming response for the in-person premiere held in Sandy, Utah, we are doing an Online Premiere for a greater participation worldwide. The movie is 1 hour 50 minutes. All screenings are followed by live Q&A sessions with the filmmakers.  The…"
EPA Head Admits Kids Should Be Nowhere Near East Palestine Water,https://naturalblaze.com/2023/03/epa-head-admits-kids-should-be-nowhere-near-east-palestine-water.html,"MARCH 4, 2023",NATURAL HEALTH NEWS,"By Tyler Durden The aftermath of the freight train derailment in East Palestine, Ohio, persists, with residents and rail workers reporting illnesses and the Biden administration facing criticism regarding an inadequate federal response. The 38-car derailment occurred one month ago and resulted in the release of vinyl chloride into…"
Deep State Health Control — Interview With James Corbett,https://naturalblaze.com/2023/02/deep-state-health-control-interview-with-james-corbett.html,"FEBRUARY 11, 2023",NATURAL HEALTH NEWS,"By The Corbett Report Via Students Against Mandates: James Corbett is the host of the popular internet show ‘The Corbett Report’. Since his early days on his show, James has investigated and reported on many critical issues all the way from torture techniques during the…"
We Must Save Health From The Medical Bureaucracy,https://naturalblaze.com/2023/02/we-must-save-health-from-the-medical-bureaucracy.html,"FEBRUARY 4, 2023",NATURAL HEALTH NEWS,"By Michael Keane and Kara Thomas We genuinely urge doctors involved with medical regulation not to go down with the sinking ship of authoritarian censorship and suppression of intellectual freedom. Not only is this behaviour historically illiterate and intellectually feeble, it is putting the safety…"
"Free Film: “Never Again Is Now Global” — Monday, January 30 At 7PM ET (Updated)",https://naturalblaze.com/2023/02/free-film-never-again-is-now-global-monday-january-30-at-7pm-et.html,"FEBRUARY 2, 2023",NATURAL HEALTH NEWS,"By Neenah Payne See the premiere of Never Again Is Now Global on Monday, January 30 at 7 PM EST on Children’s Health Defense-TV. The five-part documentary is by Holocaust survivor Vera Sharav, founder and president of The Alliance For Human Research Protection. The site…"
Amendments To WHO’s International Health Regulations: An Annotated Guide,https://naturalblaze.com/2023/02/amendments-to-whos-international-health-regulations-an-annotated-guide.html,"FEBRUARY 1, 2023",NATURAL HEALTH NEWS,"By David Bell The Covid-skeptic world has been claiming the World Health Organization (WHO) plans to become some sort of global autocratic government, removing national sovereignty and replacing it with a totalitarian health state. The near-complete absence of interest by mainstream media would suggest, to…"
NIH Failed To Monitor EcoHealth Alliance: Federal Watchdog,https://naturalblaze.com/2023/01/nih-failed-to-monitor-ecohealth-alliance-federal-watchdog.html,"JANUARY 29, 2023",NATURAL HEALTH NEWS,"By Tyler Durden After an 18-month audit, a federal watchdog says that the National Institutes of Health (NIH) failed to adequately monitor and address problems involving EcoHealth Alliance, a New York City-based nonprofit that was used to offshore risky gain-of-function research to Wuhan, China after…"
Hochul’s Healthcare Blunder On NBC Goes Viral On Twitter,https://naturalblaze.com/2023/01/hochuls-healthcare-blunder-on-nbc-goes-viral-on-twitter.html,"JANUARY 25, 2023",NATURAL HEALTH NEWS,By Michael Kane Did a viral tweet force Hochul and NY DOH to file appeal against unvaccinated healthcare workers? New York Governor Kathy Hochul blundered a response when asked why she was not allowing unvaccinated healthcare workers to reapply for their jobs after a court…
Major New Statement On Medical Freedom,https://naturalblaze.com/2023/01/major-new-statement-on-medical-freedom.html,"JANUARY 22, 2023",NATURAL HEALTH NEWS,"By Brownstone Institute This letter has been signed by Dr. Rachel Corbett, Dr. George Fareed, Dr. Melanie Gisler, Dr. Brian Hooker, Dr. Pierre Kory, Dr. Katarina Lindley, Dr. James Lyons-Weiler, Dr. Robert Malone, Dr. Peter McCullough, Dr. Liz Mumper, Dr. Meryl Nass, Dr. David Rasnick,…"
On Our Way Home To Fulfilling A Dream,https://naturalblaze.com/2023/01/on-our-way-home-to-fulfilling-a-dream.html,"JANUARY 15, 2023",NATURAL HEALTH NEWS,"By Kate Kheel In memoriam of Dr. Martin Luther King When I was five years old, my parents hosted a fund-raising dinner to further Dr. Martin Luther King’s work. I recall Dr. King sitting in an armchair in our living room with his warm, gracious,…"
SEERS Plandemic Coming In 2025,https://naturalblaze.com/2023/01/seers-plandemic-coming-in-2025.html,"JANUARY 9, 2023",NATURAL HEALTH NEWS,"By Krishna Chandrasekaran After enduring two years of worldwide dictatorship in the name of the man-made and phony COVID-19 pandemic, whereby even Western nations totally & absolutely violated the rights and liberties of the people, another phony and contrived pandemic is on the long-term horizon,…"
Why Did NFL Star Suddenly Collapse?,https://naturalblaze.com/2023/01/why-did-nfl-star-suddenly-collapse.html,"JANUARY 5, 2023",NATURAL HEALTH NEWS,"By Neenah Payne Fortunately, the latest news being reported by ESPN is that Damar Hamlin shows “remarkable improvement”; agent says safety is awake. Buffalo Bills safety Damar Hamlin has shown “remarkable improvement” over the past 24 hours, the team said, as he continues his recovery…"
California Bill To Punish Doctors For “False” Covid-19 Information Goes Into Effect,https://naturalblaze.com/2023/01/california-bill-to-punish-doctors-for-false-covid-19-information-goes-into-effect.html,"JANUARY 4, 2023",NATURAL HEALTH NEWS,"By Tyler Durden A bill which allows the state of California to punish doctors over “false information about Covid-19 vaccinations and treatments” went into effect on January 1st. Under the new law (AB 2098) which took effect Jan.1, the state’s Medical Board would categorize dispensing…"
Sign Petition To Support Academic Freedom,https://naturalblaze.com/2023/01/sign-petition-to-support-academic-freedom.html,"JANUARY 3, 2023",NATURAL HEALTH NEWS,"By Neenah Payne Why Joe Rogan’s Interviews on Mass Psychosis “Broke The Internet” explains that on the Highwire show EPISODE 249: BREAKING MASS PSYCHOSIS on 1/7/22, host Del Bigtree explained that Dr. Peter McCullough on 12/18/21 and Dr. Robert Malone (inventor of the mRNA technology…"
15 Million Americans Set To Lose Medical Coverage As Public Health Emergency Ends,https://naturalblaze.com/2023/01/15-million-americans-set-to-lose-medical-coverage-as-public-health-emergency-ends.html,"JANUARY 2, 2023",NATURAL HEALTH NEWS,"By Autumn Spredemann America is facing a health crisis and it isn’t made up of bacteria or viruses—instead, it’s an impending medical insurance meltdown. There is an expectation that as of Jan. 11, 2023, an estimated 15 million Americans will begin to lose health coverage…."
2022 In Review With Dr. Joseph Mercola,https://naturalblaze.com/2022/12/2022-in-review-with-dr-joseph-mercola.html,"DECEMBER 30, 2022",NATURAL HEALTH NEWS,By Neenah Payne Dr. Joseph Mercola’s website has been one of the most popular health sites for over 20 years. You can subscribe on his site to have his free articles emailed to you each day. They are available online just for 48 hours and…
"Another Nightmare Before Christmas: “Smart Meter Catches Fire, Utility Company Denies Homeowners’ Damage Claim”",https://naturalblaze.com/2022/12/another-nightmare-before-christmas-smart-meter-catches-fire-utility-company-denies-homeowners-damage-claim.html,"DECEMBER 24, 2022",NATURAL HEALTH NEWS,"By Patricia Burke of Safe Tech International, Image Courtesy Floris Freshman, (because we are the ones reporting the real history) In case you missed it, ‘smart meters’ were in the news again, in Maine, and Virginia. We now add a Maryland fire and company response (non-response) to…"
New Florida Panel And Grand Jury Investigate COVID Shot Results,https://naturalblaze.com/2022/12/new-florida-panel-and-grand-jury-investigate-covid-shot-results.html,"DECEMBER 21, 2022",NATURAL HEALTH NEWS,"By Neenah Payne FL ANNOUNCES NEW PUBLIC HEALTH INTEGRITY COMMITTEE Florida Governor Ron DeSantis recently hosted a roundtable forum of experts challenging the science coming from federal public health agencies surrounding the COVID-19 vaccine. Surgeon General, Joseph Ladapo announced the creation of the state’s new…"
Dr. Paul Thomas: Why Another Great MD Lost His License,https://naturalblaze.com/2022/12/dr-paul-thomas-why-another-great-md-lost-his-license.html,"DECEMBER 21, 2022",NATURAL HEALTH NEWS,"By Neenah Payne Dr. Paul’s Fight For Medical Freedom explains that Dr. Paul Thomas (affectionately known as “Dr. Paul”) received his MD from Dartmouth Medical School and completed his pediatric residency at the University of California, San Diego. He launched a landmark study comparing the…"
